,token_delta,eth_delta,UNI_delta,logIndex,timestamp,event,token_balance,eth_balance,UNI_supply
2220,11000.0,-13.288626595382777,0.0,311.0,2021-05-24 16:52:26,ethPurchase,5629589.85605549,6808.000600868691,197368.7378080236
2221,-4974.749332515043,-6.016085951359877,-164.94100550308016,304.0,2021-05-24 17:18:06,burn,5624615.106722975,6801.984514917332,197203.79680252052
2222,4974.749332515043,-5.99275324162968,0.0,70.0,2021-05-24 17:20:21,ethPurchase,5629589.85605549,6795.991761675702,197203.79680252052
2223,5604.926642181115,-6.739230312762793,0.0,167.0,2021-05-24 17:20:37,ethPurchase,5635194.782697671,6789.252531362939,197203.79680252052
2224,21021.888777018627,-25.157510346342026,0.0,135.0,2021-05-24 17:44:43,ethPurchase,5656216.67147469,6764.0950210165975,197203.79680252052
2225,27089.555756641777,-32.14488632059444,0.0,25.0,2021-05-24 17:49:14,ethPurchase,5683306.227231331,6731.950134696003,197203.79680252052
2226,12782.068305903422,-15.061332410597155,0.0,214.0,2021-05-24 18:18:49,ethPurchase,5696088.295537234,6716.888802285406,197203.79680252052
2227,100185.18355953852,118.13944986302269,3280.0240630905114,263.0,2021-05-24 18:25:16,mint,5796273.479096773,6835.028252148429,200483.82086561102
2228,13017.377349439384,-15.269990441894944,0.0,273.0,2021-05-24 18:25:16,ethPurchase,5809290.856446212,6819.758261706534,200483.82086561102
2229,17654.00109497118,-20.600147370516158,0.0,102.0,2021-05-24 18:29:43,ethPurchase,5826944.857541183,6799.158114336017,200483.82086561102
2230,13377.308312950056,-15.526916428703487,0.0,161.0,2021-05-24 18:36:10,ethPurchase,5840322.165854133,6783.631197907313,200483.82086561102
2231,-17427.434043253466,20.363929245786355,0.0,66.0,2021-05-24 19:23:42,tokenPurchase,5822894.731810879,6803.9951271531,200483.82086561102
2232,-17255.72206743604,20.28392259,0.0,14.0,2021-05-24 19:40:08,tokenPurchase,5805639.009743443,6824.2790497431,200483.82086561102
2233,25008.467582956564,-29.18285786024912,0.0,342.0,2021-05-24 19:44:16,ethPurchase,5830647.4773264,6795.096191882851,200483.82086561102
2234,13643.314727843073,-15.815462244901099,0.0,75.0,2021-05-24 19:45:06,ethPurchase,5844290.792054242,6779.28072963795,200483.82086561102
2235,6977.326771727646,-8.059709605705338,0.0,210.0,2021-05-24 19:49:34,ethPurchase,5851268.11882597,6771.221020032244,200483.82086561102
2236,6629.80581949008,-7.640514980498435,0.0,340.0,2021-05-24 19:50:49,ethPurchase,5857897.92464546,6763.580505051746,200483.82086561102
2237,7020.55354210842,-8.072029819559031,0.0,178.0,2021-05-24 19:51:48,ethPurchase,5864918.4781875685,6755.508475232186,200483.82086561102
2238,9855.708961689026,-11.299314053178165,0.0,127.0,2021-05-24 19:51:55,ethPurchase,5874774.187149257,6744.209161179008,200483.82086561102
